	statename	activity_level	activity_level_label	Latitude	Longitude	year	month	day	mean_prcp	mean_tmax	mean_tmin
101	Arizona	1	Minimal	33.729759	-111.431221	2015	6	6	1.0666666666666667	33.983333333333334	18.2
102	Arizona	1	Minimal	33.729759	-111.431221	2015	7	25	1.3548387096774193	33.274193548387096	19.741935483870968
103	Arizona	1	Minimal	33.729759	-111.431221	2015	7	18	1.3548387096774193	33.274193548387096	19.741935483870968
104	Arizona	1	Minimal	33.729759	-111.431221	2015	7	11	1.3548387096774193	33.274193548387096	19.741935483870968
105	Arizona	1	Minimal	33.729759	-111.431221	2015	7	4	1.3548387096774193	33.274193548387096	19.741935483870968
106	Arizona	1	Minimal	33.729759	-111.431221	2015	8	29	1.3548387096774193	34.774193548387096	20.70967741935484
107	Arizona	1	Minimal	33.729759	-111.431221	2015	8	22	1.3548387096774193	34.774193548387096	20.70967741935484
108	Arizona	1	Minimal	33.729759	-111.431221	2015	8	15	1.3548387096774193	34.774193548387096	20.70967741935484
109	Arizona	1	Minimal	33.729759	-111.431221	2015	8	8	1.3548387096774193	34.774193548387096	20.70967741935484
110	Arizona	1	Minimal	33.729759	-111.431221	2015	8	1	1.3548387096774193	34.774193548387096	20.70967741935484
111	Arizona	1	Minimal	33.729759	-111.431221	2015	9	26	0.9333333333333333	31.45	17.833333333333332
112	Arizona	1	Minimal	33.729759	-111.431221	2015	9	19	0.9333333333333333	31.45	17.833333333333332
113	Arizona	1	Minimal	33.729759	-111.431221	2015	9	12	0.9333333333333333	31.45	17.833333333333332
114	Arizona	1	Minimal	33.729759	-111.431221	2015	9	5	0.9333333333333333	31.45	17.833333333333332
115	Arizona	1	Minimal	33.729759	-111.431221	2015	10	10	2.6129032258064515	25.403225806451612	13.080645161290322
116	Arizona	1	Minimal	33.729759	-111.431221	2015	10	3	2.6129032258064515	25.403225806451612	13.080645161290322
117	Arizona	2	Minimal	33.729759	-111.431221	2015	10	17	2.6129032258064515	25.403225806451612	13.080645161290322
118	Arizona	2	Minimal	33.729759	-111.431221	2015	10	24	2.6129032258064515	25.403225806451612	13.080645161290322
119	Arizona	3	Minimal	33.729759	-111.431221	2015	10	31	2.6129032258064515	25.403225806451612	13.080645161290322
120	Arizona	3	Minimal	33.729759	-111.431221	2015	11	28	0.9333333333333333	17.416666666666668	4.45
121	Arizona	3	Minimal	33.729759	-111.431221	2015	11	21	0.9333333333333333	17.416666666666668	4.45
122	Arizona	3	Minimal	33.729759	-111.431221	2015	11	14	0.9333333333333333	17.416666666666668	4.45
123	Arizona	3	Minimal	33.729759	-111.431221	2015	11	7	0.9333333333333333	17.416666666666668	4.45
124	Arizona	4	Low	33.729759	-111.431221	2015	12	5	2.064516129032258	13.17741935483871	0.8548387096774194
125	Arizona	4	Low	33.729759	-111.431221	2015	12	12	2.064516129032258	13.17741935483871	0.8548387096774194
126	Arizona	4	Low	33.729759	-111.431221	2015	12	19	2.064516129032258	13.17741935483871	0.8548387096774194
127	Arizona	6	Moderate	33.729759	-111.431221	2015	12	26	2.064516129032258	13.17741935483871	0.8548387096774194
128	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	10	30	0.7741935483870968	26.85483870967742	8.435483870967742
129	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	10	23	0.7741935483870968	26.85483870967742	8.435483870967742
130	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	10	16	0.7741935483870968	26.85483870967742	8.435483870967742
131	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	10	9	0.7741935483870968	26.85483870967742	8.435483870967742
132	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	11	20	4.833333333333333	18.35	4.116666666666666
133	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	11	27	4.833333333333333	18.35	4.116666666666666
134	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	11	13	4.833333333333333	18.35	4.116666666666666
135	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	11	6	4.833333333333333	18.35	4.116666666666666
